age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
,,,,,,,,0 - 1000,bike,0.03993953574665
,,,,,,,,0 - 1000,car,0.010077686113465548
,,,,,,,,0 - 1000,pt,0.0035575461836548946
,,,,,,,,0 - 1000,ride,0.0037969819009802397
,,,,,,,,0 - 1000,walk,0.22881070677001764
,,,,,,,,1000 - 2000,bike,0.04698342341346555
,,,,,,,,1000 - 2000,car,0.023147292190076742
,,,,,,,,1000 - 2000,pt,0.02007970854535886
,,,,,,,,1000 - 2000,ride,0.010215459406613094
,,,,,,,,1000 - 2000,walk,0.05220619945665914
,,,,,,,,2000 - 5000,bike,0.05624516000252578
,,,,,,,,2000 - 5000,car,0.05164117094781402
,,,,,,,,2000 - 5000,pt,0.07035847284671681
,,,,,,,,2000 - 5000,ride,0.019753111426262702
,,,,,,,,2000 - 5000,walk,0.013501281662145714
,,,,,,,,5000 - 10000,bike,0.02693069701653698
,,,,,,,,5000 - 10000,car,0.05215320525856776
,,,,,,,,5000 - 10000,pt,0.08244750747280563
,,,,,,,,5000 - 10000,ride,0.01397122077983446
,,,,,,,,5000 - 10000,walk,0.001517535520605139
,,,,,,,,10000 - 20000,bike,0.007136782872703979
,,,,,,,,10000 - 20000,car,0.04134445948649564
,,,,,,,,10000 - 20000,pt,0.06385899348452925
,,,,,,,,10000 - 20000,ride,0.007926042173942492
,,,,,,,,10000 - 20000,walk,0.0005273153061550004
,,,,,,,,20000+,bike,0.0006419443250597948
,,,,,,,,20000+,car,0.022309302342807483
,,,,,,,,20000+,pt,0.024771142628339887
,,,,,,,,20000+,ride,0.003944497517436229
,,,,,,,,20000+,walk,0.00020561720177352156
0 - 12,,,,,,,,0 - 1000,bike,0.008517923186350437
0 - 12,,,,,,,,0 - 1000,car,3.3087829984082275e-06
0 - 12,,,,,,,,0 - 1000,pt,0.0002096824780535133
0 - 12,,,,,,,,0 - 1000,ride,0.002029469269805064
0 - 12,,,,,,,,0 - 1000,walk,0.03308803116309243
0 - 12,,,,,,,,1000 - 2000,bike,0.008096522930526682
0 - 12,,,,,,,,1000 - 2000,car,1.4482130927893376e-05
0 - 12,,,,,,,,1000 - 2000,pt,0.0022240552516710867
0 - 12,,,,,,,,1000 - 2000,ride,0.00548244643347418
0 - 12,,,,,,,,1000 - 2000,walk,0.0070833714423778225
0 - 12,,,,,,,,2000 - 5000,bike,0.004071005721068593
0 - 12,,,,,,,,2000 - 5000,car,6.301165237870091e-06
0 - 12,,,,,,,,2000 - 5000,pt,0.005203029203728283
0 - 12,,,,,,,,2000 - 5000,ride,0.008538310331494542
0 - 12,,,,,,,,2000 - 5000,walk,0.0008106474785451107
0 - 12,,,,,,,,5000 - 10000,bike,0.00037547491019678696
0 - 12,,,,,,,,5000 - 10000,car,5.398602409648083e-06
0 - 12,,,,,,,,5000 - 10000,pt,0.002694053920261828
0 - 12,,,,,,,,5000 - 10000,ride,0.004394592866035796
0 - 12,,,,,,,,5000 - 10000,walk,8.967264191923621e-05
0 - 12,,,,,,,,10000 - 20000,bike,7.579848095002919e-06
0 - 12,,,,,,,,10000 - 20000,car,0.0
0 - 12,,,,,,,,10000 - 20000,pt,0.0007491330684292405
0 - 12,,,,,,,,10000 - 20000,ride,0.0018407990404998905
0 - 12,,,,,,,,10000 - 20000,walk,4.039646752471745e-05
0 - 12,,,,,,,,20000+,bike,3.3087829984082275e-06
0 - 12,,,,,,,,20000+,car,0.0
0 - 12,,,,,,,,20000+,pt,0.00030231628953346167
0 - 12,,,,,,,,20000+,ride,0.0004951435481063568
0 - 12,,,,,,,,20000+,walk,2.9887238744409086e-05
12 - 18,,,,,,,,0 - 1000,bike,0.0019792792514497825
12 - 18,,,,,,,,0 - 1000,car,0.0
12 - 18,,,,,,,,0 - 1000,pt,0.00026781913936508694
12 - 18,,,,,,,,0 - 1000,ride,0.00010882485081855171
12 - 18,,,,,,,,0 - 1000,walk,0.007339990685009927
12 - 18,,,,,,,,1000 - 2000,bike,0.004346248067065028
12 - 18,,,,,,,,1000 - 2000,car,0.0
12 - 18,,,,,,,,1000 - 2000,pt,0.001538992156359736
12 - 18,,,,,,,,1000 - 2000,ride,0.00041055227571393845
12 - 18,,,,,,,,1000 - 2000,walk,0.0021890484059849395
12 - 18,,,,,,,,2000 - 5000,bike,0.0052400109508453216
12 - 18,,,,,,,,2000 - 5000,car,1.3804108659462701e-05
12 - 18,,,,,,,,2000 - 5000,pt,0.009673748842012386
12 - 18,,,,,,,,2000 - 5000,ride,0.001574332754614814
